City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cap malheureux,-19.9842,57.6142,24.7,84,68,6.88,MU,1675203945
1,port lincoln,-34.7333,135.8667,17.05,84,99,7.25,AU,1675203826
2,saqqez,36.2499,46.2735,-5.22,93,28,2.26,IR,1675204174
3,moerai,-22.4333,-151.3333,26.38,74,91,4.47,PF,1675203873
4,yerbogachen,61.2767,108.0108,-35.57,100,76,1.26,RU,1675203951
5,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,1675203534
6,barrow,71.2906,-156.7887,-21.99,84,0,11.83,US,1675203819
7,talnakh,69.4865,88.3972,-17.11,96,100,4.2,RU,1675203950
8,ust-ilimsk,58.0006,102.6619,-17.18,97,100,1.8,RU,1675203930
9,katsuura,35.1333,140.3,5.75,70,13,2.72,JP,1675203842
10,busselton,-33.65,115.3333,13.95,76,0,7.49,AU,1675203520
11,whitehorse,60.7161,-135.0538,-8.32,76,75,3.09,CA,1675203952
12,puerto ayora,-0.7393,-90.3518,27.98,89,76,0.45,EC,1675203838
13,arraial do cabo,-22.9661,-42.0278,24.98,78,0,7.72,BR,1675203600
14,ampanihy,-24.7,44.75,19.82,80,1,6.19,MG,1675204011
15,iqaluit,63.7506,-68.5145,-25.73,68,100,7.6,CA,1675203806
16,cape town,-33.9258,18.4232,21.06,81,20,7.2,ZA,1675203561
17,albany,42.6001,-73.9662,-3.21,57,86,0.45,US,1675203821
18,dikson,73.5069,80.5464,-22.21,93,96,4.05,RU,1675203820
19,torbay,47.6666,-52.7314,0.22,91,75,2.06,CA,1675203869
20,kapaa,22.0752,-159.319,26.18,83,75,4.12,US,1675203820
21,shiraz,29.6036,52.5388,6.69,61,75,11.83,IR,1675204176
22,clyde river,70.4692,-68.5914,-31.87,83,0,1.54,CA,1675203835
23,togitsu,32.8333,129.85,6.99,81,75,6.69,JP,1675204177
24,yellowknife,62.456,-114.3525,-28.71,69,75,5.66,CA,1675203521
25,chipata,-13.6333,32.65,18.02,97,100,2.15,ZM,1675204177
26,port elizabeth,-33.918,25.5701,20.73,97,0,2.57,ZA,1675204008
27,chokurdakh,70.6333,147.9167,-16.71,97,100,0.87,RU,1675203858
28,port-gentil,-0.7193,8.7815,26.98,83,20,3.09,GA,1675203640
29,ushuaia,-54.8,-68.3,12.81,58,40,2.06,AR,1675203805
30,bredasdorp,-34.5322,20.0403,19.2,96,35,0.96,ZA,1675203813
31,vaini,-21.2,-175.2,26.09,94,75,4.63,TO,1675203834
32,carnarvon,-24.8667,113.6333,24.98,78,67,5.72,AU,1675203816
33,east london,-33.0153,27.9116,22.9,89,83,5.81,ZA,1675203808
34,sambava,-14.2667,50.1667,25.22,88,12,2.72,MG,1675204178
35,hermanus,-34.4187,19.2345,17.67,90,13,3.27,ZA,1675203811
36,jamestown,42.097,-79.2353,-6.1,62,40,2.06,US,1675203788
37,abeche,13.8292,20.8324,25.35,13,11,4.44,TD,1675204179
38,bethel,41.3712,-73.414,2.2,58,0,3.09,US,1675203829
39,mataura,-46.1927,168.8643,16.27,99,100,0.45,NZ,1675203836
40,saint-joseph,-21.3667,55.6167,25.21,85,96,4.24,RE,1675204179
41,oktyabrskiy,54.4815,53.471,-12.54,97,38,2.87,RU,1675204180
42,bangassou,4.7413,22.8184,24.4,35,7,1.05,CF,1675204180
43,nurpur,29.15,78.4167,10.67,92,0,4.39,IN,1675204180
44,noumea,-22.2763,166.4572,28.33,99,83,0.48,NC,1675203643
45,qaanaaq,77.484,-69.3632,-21.28,50,70,3.85,GL,1675203895
46,guerrero negro,27.9769,-114.0611,15.81,50,59,4.11,MX,1675203819
47,mwinilunga,-11.7358,24.4293,15.08,98,88,1.12,ZM,1675204181
48,longyearbyen,78.2186,15.6401,-9.09,67,40,6.69,SJ,1675203994
49,lavrentiya,65.5833,-171.0,-5.27,97,100,1.03,RU,1675203810
50,itarema,-2.9248,-39.9167,26.47,78,89,5.56,BR,1675203932
51,rikitea,-23.1203,-134.9692,26.33,72,15,5.73,PF,1675203818
52,kamariotissa,40.4833,25.4667,8.24,57,53,7.95,GR,1675204182
53,atuona,-9.8,-139.0333,26.16,74,83,9.31,PF,1675203850
54,port alfred,-33.5906,26.891,21.21,94,12,0.89,ZA,1675203816
55,kununurra,-15.7667,128.7333,25.99,100,40,0.0,AU,1675204182
56,anjozorobe,-18.4,47.8667,18.46,95,99,2.99,MG,1675204183
57,san patricio,28.017,-97.5169,5.93,78,100,7.21,US,1675203813
58,lompoc,34.6391,-120.4579,18.3,50,0,4.02,US,1675203830
59,paamiut,61.994,-49.6678,-10.38,66,100,3.82,GL,1675203959
60,punta arenas,-53.15,-70.9167,15.06,51,75,12.86,CL,1675203609
61,vila franca do campo,37.7167,-25.4333,13.23,83,65,3.86,PT,1675204183
62,bloomington,44.8408,-93.2983,-11.09,57,20,5.14,US,1675204181
63,pacifica,37.6138,-122.4869,15.83,26,0,3.6,US,1675204184
64,laguna,38.421,-121.4238,14.45,38,0,3.6,US,1675203694
65,alekseyevsk,57.8406,108.3492,-16.6,97,100,2.83,RU,1675204184
66,nikolskoye,59.7035,30.7861,-0.05,93,98,3.66,RU,1675203541
67,kavieng,-2.5744,150.7967,28.23,73,100,3.48,PG,1675203636
68,mehamn,71.0357,27.8492,-0.05,93,75,6.69,NO,1675204185
69,tasiilaq,65.6145,-37.6368,-11.91,80,100,2.74,GL,1675203871
70,marawi,7.9986,124.2928,19.4,93,17,0.82,PH,1675203958
71,saint-pierre,-21.3393,55.4781,25.82,89,100,7.2,RE,1675203810
72,hirara,24.8,125.2833,17.92,82,75,2.06,JP,1675203747
73,pervomayskoye,43.919,46.7102,4.89,80,100,4.31,RU,1675204186
74,chicama,-7.8447,-79.1469,20.3,59,43,4.14,PE,1675204014
75,ayan,56.45,138.1667,-21.52,65,100,6.64,RU,1675204186
76,parangan,5.0839,119.9383,26.02,83,56,4.02,PH,1675204186
77,yulara,-25.2406,130.9889,24.17,34,73,5.86,AU,1675203944
78,salinopolis,-0.6136,-47.3561,25.52,87,80,3.34,BR,1675204187
79,hobart,-42.8794,147.3294,18.92,62,40,4.63,AU,1675203795
80,belo oriente,-19.22,-42.4836,22.86,87,74,0.48,BR,1675203911
81,jagdalpur,19.0667,82.0333,17.05,48,89,1.93,IN,1675204187
82,saskylakh,71.9167,114.0833,-33.35,96,100,3.09,RU,1675203872
83,gamba,-2.65,10.0,25.43,83,64,1.95,GA,1675204188
84,vardo,70.3705,31.1107,0.99,75,40,10.8,NO,1675203843
85,redmond,47.674,-122.1215,6.52,65,100,0.45,US,1675204188
86,avarua,-21.2078,-159.775,27.03,83,100,3.6,CK,1675203824
87,bluff,-46.6,168.3333,15.67,97,100,0.89,NZ,1675203813
88,eydhafushi,5.1033,73.0708,26.61,77,100,4.84,MV,1675204189
89,butaritari,3.0707,172.7902,26.7,79,67,8.7,KI,1675203803
90,lao cai,22.4833,103.95,12.34,80,3,0.56,VN,1675204189
91,makakilo city,21.3469,-158.0858,27.18,67,75,3.09,US,1675204157
92,komsomolskiy,40.4272,71.7189,-2.6,86,79,1.03,UZ,1675203969
93,igarka,67.4667,86.5833,-17.3,97,100,4.12,RU,1675204190
94,shache,38.4167,77.2406,-7.69,89,22,1.19,CN,1675204190
95,olafsvik,64.8945,-23.7142,-0.56,78,100,12.38,IS,1675203943
96,khetia,21.6667,74.5833,18.82,47,0,3.25,IN,1675204191
97,castro,-24.7911,-50.0119,17.66,98,100,0.85,BR,1675203814
98,ilulissat,69.2167,-51.1,-14.99,78,75,5.14,GL,1675204002
99,rabo de peixe,37.8,-25.5833,12.73,71,20,1.54,PT,1675203928
100,dalby,-27.1833,151.2667,28.32,71,77,0.45,AU,1675204191
101,pevek,69.7008,170.3133,-12.58,81,0,3.38,RU,1675203831
102,mahebourg,-20.4081,57.7,26.16,89,40,2.57,MU,1675203861
103,sitka,57.0531,-135.33,5.94,75,100,0.0,US,1675203808
104,nanortalik,60.1432,-45.2371,-8.02,79,100,0.91,GL,1675203823
105,victoria,22.2855,114.1577,19.97,84,94,2.68,HK,1675203653
106,margate,51.3813,1.3862,6.04,72,9,1.34,GB,1675203727
107,concepcion,-36.827,-73.0498,20.89,49,0,7.72,CL,1675204078
108,port blair,11.6667,92.75,27.02,78,40,2.06,IN,1675203883
109,mar del plata,-38.0023,-57.5575,22.01,86,75,7.2,AR,1675203837
110,tessalit,20.1986,1.0114,16.66,10,0,4.2,ML,1675203894
111,flinders,-34.5833,150.8552,23.99,70,76,0.89,AU,1675203945
112,lorengau,-2.0226,147.2712,27.35,80,100,3.41,PG,1675203871
113,amahai,-3.3333,128.9167,25.55,84,82,2.88,ID,1675204192
114,buraydah,26.326,43.975,14.25,59,14,5.39,SA,1675204193
115,hede,33.7681,120.2517,4.56,64,99,4.87,CN,1675204193
116,suluq,31.6682,20.2521,14.03,58,59,9.48,LY,1675203911
117,bandarbeyla,9.4942,50.8122,23.71,74,31,7.32,SO,1675203902
118,zyryanka,65.75,150.85,-26.52,96,96,2.75,RU,1675204194
119,mahanje,-9.9333,35.3333,17.49,96,2,1.18,TZ,1675204194
120,hilo,19.7297,-155.09,24.23,94,75,1.54,US,1675203700
121,asekeyevo,53.5742,52.7972,-16.87,99,63,2.15,RU,1675204194
122,leningradskiy,69.3833,178.4167,-14.97,96,100,2.87,RU,1675203883
123,san quintin,30.4833,-115.95,13.97,61,34,4.33,MX,1675203821
124,san jose,37.3394,-121.895,16.91,21,20,2.57,US,1675203875
125,thompson,55.7435,-97.8558,-27.91,63,75,3.09,CA,1675203838
126,jiazi,22.8779,116.067,16.37,77,100,3.61,CN,1675204195
127,champerico,14.3,-91.9167,33.3,56,5,4.85,GT,1675203883
128,el cairo,4.7591,-76.2223,17.26,86,88,1.77,CO,1675204195
129,hithadhoo,-0.6,73.0833,27.11,77,28,4.84,MV,1675203832
130,fortuna,40.5982,-124.1573,14.4,38,0,2.57,US,1675203883
131,farrukhnagar,17.0778,78.2011,17.84,56,76,3.5,IN,1675204196
132,oranjemund,-28.55,16.4333,17.02,96,4,1.57,NA,1675203882
133,aubenas,44.6201,4.3899,2.87,86,14,3.18,FR,1675204196
134,ugoofaaru,5.6667,73.0,26.62,79,100,5.32,MV,1675204197
135,lebu,-37.6167,-73.65,15.7,74,0,9.25,CL,1675203812
136,tsagan aman,47.5639,46.7218,-4.5,80,29,3.13,RU,1675204197
137,sioux lookout,50.1001,-91.917,-17.96,60,40,2.06,CA,1675204198
138,bukachacha,52.9833,116.9167,-25.97,96,8,1.89,RU,1675204198
139,nelson bay,-32.7167,152.15,24.44,79,88,5.36,AU,1675204121
140,erenhot,43.6475,111.9767,-14.58,67,0,2.84,CN,1675204199
141,nhulunbuy,-12.2333,136.7667,29.34,79,98,4.63,AU,1675204199
142,virden,39.5009,-89.7679,-6.25,51,85,3.39,US,1675204199
143,vostok,46.4856,135.8833,-20.19,95,100,1.39,RU,1675204200
144,puerto penasco,31.3167,-113.5333,13.84,78,80,1.79,MX,1675204200
145,stavern,59.0,10.0333,1.4,95,100,6.8,NO,1675204200
146,tomatlan,19.9333,-105.25,28.53,44,13,3.47,MX,1675204201
147,mamallapuram,12.6264,80.1722,25.03,82,98,4.73,IN,1675204202
148,hofn,64.2539,-15.2082,-1.2,65,99,9.45,IS,1675203804
149,sola,-13.8833,167.55,26.62,76,99,2.07,VU,1675204203
150,makushino,55.2103,67.2442,-12.72,88,88,3.64,RU,1675204204
151,los llanos de aridane,28.6585,-17.9182,13.86,72,20,3.6,ES,1675204206
152,ixtapa,20.7,-105.2,25.68,65,20,4.63,MX,1675203839
153,codrington,-38.2667,141.9667,15.23,81,91,7.35,AU,1675203940
154,santos reyes nopala,16.1092,-97.1561,25.65,53,4,2.6,MX,1675204207
155,labuhan,-6.8844,112.2051,25.02,86,100,3.1,ID,1675204208
156,upington,-28.4478,21.2561,23.21,64,59,3.09,ZA,1675203825
157,saint-philippe,-21.3585,55.7679,25.77,87,100,4.19,RE,1675203877
158,stornoway,58.2093,-6.3865,5.98,78,75,14.92,GB,1675204209
159,monte alegre,-2.0078,-54.0692,24.23,93,54,0.91,BR,1675204209
160,opuwo,-18.0607,13.84,18.36,85,98,1.48,NA,1675204210
161,beyneu,45.3167,55.2,-1.02,86,36,5.83,KZ,1675204210
162,takoradi,4.8845,-1.7554,26.44,85,94,2.62,GH,1675204211
163,matamoros,25.5333,-103.25,29.06,21,75,4.63,MX,1675204216
164,oster,50.9506,30.8823,-0.31,96,99,3.71,UA,1675204221
165,banda aceh,5.5577,95.3222,24.21,81,100,3.27,ID,1675203836
166,angoche,-16.2325,39.9086,25.85,83,53,2.54,MZ,1675204222
167,billings,45.7833,-108.5007,-4.13,50,75,7.2,US,1675204214
168,tuy hoa,13.0833,109.3,20.22,94,100,1.67,VN,1675203831
169,kaitangata,-46.2817,169.8464,17.02,98,100,0.76,NZ,1675203859
170,acapulco,16.8634,-99.8901,28.9,70,0,3.6,MX,1675203646
171,solnechnyy,50.7214,136.6319,-26.73,97,31,1.3,RU,1675203930
172,mbandaka,0.0487,18.2603,23.71,70,18,1.31,CD,1675204224
173,san luis,-33.295,-66.3356,29.36,42,90,2.6,AR,1675204226
174,bambous virieux,-20.3428,57.7575,26.14,89,40,2.57,MU,1675204227
175,akyab,20.15,92.9,18.93,64,16,2.84,MM,1675204020
176,maromitsa,59.8683,48.0123,-3.45,90,100,5.68,RU,1675204228
177,jalu,29.0331,21.5482,11.67,65,25,4.84,LY,1675203918
178,borgo san dalmazzo,44.333,7.4858,5.72,48,58,1.54,IT,1675204229
179,vavoua,7.3819,-6.4778,26.11,24,3,1.05,CI,1675204229
180,caborca,30.5838,-111.101,14.23,45,61,6.2,MX,1675203858
181,umea,63.8284,20.2597,-11.72,85,0,1.03,SE,1675204229
182,bilibino,68.0546,166.4372,-17.56,96,53,3.0,RU,1675203882
183,luderitz,-26.6481,15.1594,16.39,95,0,4.45,NA,1675203994
184,rawson,-43.3002,-65.1023,18.84,46,0,8.14,AR,1675203674
185,geraldton,-28.7667,114.6,20.23,88,0,1.03,AU,1675203849
186,balabac,7.9868,117.0645,26.54,84,72,7.59,PH,1675203904
187,souillac,-20.5167,57.5167,26.21,89,40,2.57,MU,1675203571
188,bengkulu,-3.8004,102.2655,23.58,90,100,2.67,ID,1675203875
189,new norfolk,-42.7826,147.0587,18.72,62,53,0.45,AU,1675203812
190,faanui,-16.4833,-151.75,27.08,76,47,6.75,PF,1675203918
191,vallenar,-28.5708,-70.7581,26.75,37,9,3.82,CL,1675203936
192,namibe,-15.1961,12.1522,22.37,81,98,2.43,AO,1675203988
193,westport,41.1415,-73.3579,3.51,57,0,3.6,US,1675203880
194,chulakivka,46.3576,32.3514,-0.92,90,78,3.98,UA,1675204231
195,chinhoyi,-17.3667,30.2,17.1,96,1,2.15,ZW,1675204231
196,haines junction,60.7522,-137.5108,-5.0,91,98,0.88,CA,1675203960
197,koumac,-20.5667,164.2833,28.03,57,36,0.83,NC,1675204232
198,chernyshevskiy,63.0128,112.4714,-43.36,100,64,1.1,RU,1675204232
199,saint anthony,45.0205,-93.218,-11.73,59,0,5.14,US,1675204232
200,touros,-5.1989,-35.4608,26.68,77,78,6.23,BR,1675203870
201,marystown,47.1666,-55.1483,-1.26,97,100,0.55,CA,1675204233
202,padang,-0.9492,100.3543,23.03,88,100,1.9,ID,1675203895
203,upernavik,72.7868,-56.1549,-18.05,94,100,6.83,GL,1675203815
204,gijon,43.5357,-5.6615,6.66,90,26,1.5,ES,1675204233
205,mattru,7.6244,-11.8332,24.07,86,44,0.95,SL,1675204234
206,kisangani,0.5167,25.2,22.06,74,8,1.4,CD,1675204234
207,barcelos,41.5388,-8.6151,7.6,81,34,1.73,PT,1675204098
208,chuy,-33.6971,-53.4616,24.26,77,19,4.62,UY,1675203538
209,gizo,-8.103,156.8419,28.89,71,77,3.57,SB,1675204235
210,mae sai,20.4335,99.8762,15.42,74,46,0.75,TH,1675204235
211,provideniya,64.3833,-173.3,-5.94,100,100,2.0,RU,1675203855
212,havoysund,70.9963,24.6622,1.13,83,100,8.48,NO,1675204236
213,ballina,-28.8667,153.5667,24.88,99,69,2.19,AU,1675204236
214,kruisfontein,-34.0033,24.7314,19.38,95,8,1.42,ZA,1675203887
215,college,64.8569,-147.8028,-6.78,84,100,2.57,US,1675203885
216,carbonia,39.1672,8.5222,7.78,80,55,0.3,IT,1675204237
217,saldanha,-33.0117,17.9442,17.03,95,25,8.81,ZA,1675203884
218,urucara,-2.5364,-57.76,23.21,98,100,0.63,BR,1675204237
219,waingapu,-9.6567,120.2641,26.58,82,74,2.41,ID,1675204238
220,yershov,51.3513,48.2766,-7.3,95,52,3.64,RU,1675204238
221,rossland,49.0831,-117.8022,-6.88,55,100,0.57,CA,1675204238
222,georgetown,5.4112,100.3354,26.96,80,20,2.06,MY,1675203623
223,dwarka,22.2394,68.9678,19.68,60,7,7.46,IN,1675204239
224,ahipara,-35.1667,173.1667,22.52,79,68,3.76,NZ,1675203899
225,ankola,14.6667,74.3,23.3,70,13,1.92,IN,1675204239
226,fairbanks,64.8378,-147.7164,-6.77,83,100,2.57,US,1675203834
227,norman wells,65.282,-126.8329,-25.98,76,40,4.12,CA,1675203889
228,kismayo,-0.3582,42.5454,24.8,82,40,6.34,SO,1675203989
229,baghdad,33.3406,44.4009,9.95,87,44,1.54,IQ,1675204008
230,antofagasta,-23.65,-70.4,22.6,76,49,2.24,CL,1675203958
231,sao filipe,14.8961,-24.4956,21.62,71,59,5.34,CV,1675203827
232,atar,20.5169,-13.0499,20.38,20,67,2.73,MR,1675203940
233,ihosy,-22.4,46.1167,18.36,96,100,4.54,MG,1675204240
234,sibolga,1.7427,98.7792,24.37,87,100,1.21,ID,1675204240
235,ambulu,-8.345,113.6058,24.42,90,100,1.04,ID,1675204241
236,tiznit,29.5833,-9.5,11.34,26,67,6.98,MA,1675204241
237,amga,60.8953,131.9608,-36.81,99,100,1.49,RU,1675204241
238,kharp,66.8014,65.8081,-13.54,97,100,0.91,RU,1675204242
239,santa rosa,14.3122,121.1114,23.99,82,81,4.78,PH,1675203643
240,tuktoyaktuk,69.4541,-133.0374,-37.0,67,20,2.06,CA,1675203539
241,pitkyaranta,61.5734,31.4792,-6.17,94,98,2.97,RU,1675204242
242,moletai,55.2333,25.4167,-0.83,91,100,5.02,LT,1675204243
243,dingle,10.9995,122.6711,23.48,95,52,4.01,PH,1675203985
244,esperance,-33.8667,121.9,16.51,73,100,6.33,AU,1675203956
245,surt,31.2089,16.5887,14.65,62,67,10.41,LY,1675204243
246,grindavik,63.8424,-22.4338,-2.74,74,0,2.57,IS,1675203851
247,guarapari,-20.6667,-40.4975,26.05,86,48,5.66,BR,1675204244
248,kalmunai,7.4167,81.8167,23.59,92,100,7.31,LK,1675204244
249,hohhot,40.8106,111.6522,-16.84,60,0,1.0,CN,1675204244
250,axim,4.8699,-2.2405,26.22,85,100,2.1,GH,1675204245
251,ribeira grande,38.5167,-28.7,13.21,85,94,3.58,PT,1675203876
252,samoded,63.6083,40.5111,-4.23,90,99,5.08,RU,1675204245
253,caruray,10.3094,119.0128,25.25,90,43,4.37,PH,1675204245
254,san cristobal,7.7669,-72.225,24.1,61,63,1.93,VE,1675203996
255,tuatapere,-46.1333,167.6833,18.07,90,100,1.25,NZ,1675203829
256,bosaso,11.2842,49.1816,22.72,73,25,1.98,SO,1675204246
257,klaksvik,62.2266,-6.589,5.11,86,100,13.58,FO,1675204246
258,porto walter,-8.2686,-72.7439,30.18,56,100,1.52,BR,1675204160
259,lata,40.1629,-8.3327,3.37,80,4,1.51,PT,1675204247
260,aklavik,68.2191,-135.0107,-34.1,99,32,1.41,CA,1675203953
261,okhotsk,59.3833,143.3,-18.56,97,100,4.97,RU,1675204247
262,erzin,36.9559,36.2,6.76,88,46,2.04,TR,1675204247
263,cidreira,-30.1811,-50.2056,25.04,83,18,3.11,BR,1675203965
264,tiksi,71.6872,128.8694,-20.72,99,100,4.84,RU,1675203920
265,oudtshoorn,-33.5907,22.2014,17.2,56,0,0.21,ZA,1675204248
266,northam,51.0333,-4.2167,8.12,79,93,8.45,GB,1675204248
267,jiwani,25.05,61.7417,20.39,60,1,2.54,PK,1675204249
268,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,71,20,6.0,RU,1675203911
269,pangnirtung,66.1451,-65.7125,-31.0,47,40,1.03,CA,1675203998
270,mayo,38.8876,-76.5119,3.45,90,100,1.54,US,1675204249
